,Month,Year,community_board_full,DHS
0,1,2010,101,1
1,1,2010,104,2
2,1,2010,105,1
3,1,2010,106,1
4,1,2010,107,1
5,1,2010,108,1
6,1,2010,109,5
7,1,2010,110,16
8,1,2010,111,11
9,1,2010,112,13
10,1,2010,201,66
11,1,2010,202,89
12,1,2010,203,71
13,1,2010,204,105
14,1,2010,205,111
15,1,2010,206,97
16,1,2010,207,77
17,1,2010,208,10
18,1,2010,209,139
19,1,2010,210,39
20,1,2010,211,70
21,1,2010,212,223
22,1,2010,301,1
23,1,2010,302,5
24,1,2010,303,200
25,1,2010,304,66
26,1,2010,305,233
27,1,2010,306,3
28,1,2010,307,2
29,1,2010,308,79
30,1,2010,309,25
31,1,2010,310,3
32,1,2010,311,7
33,1,2010,312,3
34,1,2010,313,13
35,1,2010,314,20
36,1,2010,316,132
37,1,2010,317,150
38,1,2010,318,48
39,1,2010,401,1
40,1,2010,402,1
41,1,2010,403,7
42,1,2010,404,6
43,1,2010,405,17
44,1,2010,406,2
45,1,2010,407,2
46,1,2010,408,2
47,1,2010,409,55
48,1,2010,410,45
49,1,2010,411,1
50,1,2010,412,221
51,1,2010,413,56
52,1,2010,414,152
53,1,2011,101,1
54,1,2011,103,1
55,1,2011,105,2
56,1,2011,108,1
57,1,2011,109,9
58,1,2011,110,21
59,1,2011,111,11
60,1,2011,112,22
61,1,2011,201,79
62,1,2011,202,81
63,1,2011,203,76
64,1,2011,204,107
65,1,2011,205,138
66,1,2011,206,105
67,1,2011,207,71
68,1,2011,208,10
69,1,2011,209,115
70,1,2011,210,25
71,1,2011,211,59
72,1,2011,212,215
73,1,2011,301,5
74,1,2011,302,6
75,1,2011,303,180
76,1,2011,304,60
77,1,2011,305,235
78,1,2011,306,3
79,1,2011,307,6
80,1,2011,308,68
81,1,2011,309,19
82,1,2011,310,3
83,1,2011,311,6
84,1,2011,312,3
85,1,2011,313,29
86,1,2011,314,44
87,1,2011,315,5
88,1,2011,316,128
89,1,2011,317,151
90,1,2011,318,39
91,1,2011,401,7
92,1,2011,403,14
93,1,2011,404,2
94,1,2011,405,32
95,1,2011,406,3
96,1,2011,407,6
97,1,2011,408,2
98,1,2011,409,64
99,1,2011,410,35
100,1,2011,412,200
101,1,2011,413,64
102,1,2011,414,128
103,1,2012,104,1
104,1,2012,105,4
105,1,2012,107,2
106,1,2012,109,1
107,1,2012,110,14
108,1,2012,111,15
109,1,2012,112,7
110,1,2012,201,28
111,1,2012,202,39
112,1,2012,203,36
113,1,2012,204,34
114,1,2012,205,62
115,1,2012,206,53
116,1,2012,207,40
117,1,2012,208,5
118,1,2012,209,73
119,1,2012,210,14
120,1,2012,211,45
121,1,2012,212,141
122,1,2012,301,2
123,1,2012,302,5
124,1,2012,303,118
125,1,2012,304,43
126,1,2012,305,149
127,1,2012,306,3
128,1,2012,307,10
129,1,2012,308,47
130,1,2012,309,11
131,1,2012,310,1
132,1,2012,312,3
133,1,2012,313,17
134,1,2012,314,9
135,1,2012,315,3
136,1,2012,316,71
137,1,2012,317,64
138,1,2012,318,28
139,1,2012,401,4
140,1,2012,403,4
141,1,2012,404,4
142,1,2012,405,16
143,1,2012,407,4
144,1,2012,408,4
145,1,2012,409,42
146,1,2012,410,28
147,1,2012,412,125
148,1,2012,413,31
149,1,2012,414,61
150,1,2013,110,2
151,1,2013,203,1
152,1,2013,207,1
153,1,2013,209,1
154,1,2013,210,1
155,1,2013,212,1
156,1,2013,304,2
157,1,2013,305,5
158,1,2013,308,1
159,1,2013,316,1
160,1,2013,318,1
161,1,2013,403,1
162,1,2013,412,1
163,1,2013,414,1
164,1,2014,101,1
165,1,2014,102,11
166,1,2014,103,7
167,1,2014,104,4
168,1,2014,105,21
169,1,2014,106,4
170,1,2014,107,19
171,1,2014,108,6
172,1,2014,109,9
173,1,2014,110,2
174,1,2014,111,3
175,1,2014,112,2
176,1,2014,201,1
177,1,2014,207,1
178,1,2014,208,1
179,1,2014,209,1
180,1,2014,210,1
181,1,2014,211,1
182,1,2014,212,3
183,1,2014,227,1
184,1,2014,302,2
185,1,2014,306,4
186,1,2014,308,4
187,1,2014,309,1
188,1,2014,313,2
189,1,2014,318,1
190,1,2014,401,3
191,1,2014,402,1
192,1,2014,403,1
193,1,2014,404,1
194,1,2014,405,2
195,1,2014,406,3
196,1,2014,407,2
