,Month,Year,community_board_full,DOB
0,1,2010,101,1
1,1,2011,101,4
2,1,2011,102,8
3,1,2011,103,15
4,1,2011,104,5
5,1,2011,105,6
6,1,2011,106,7
7,1,2011,107,9
8,1,2011,108,11
9,1,2011,109,1
10,1,2011,110,1
11,1,2011,111,2
12,1,2011,112,5
13,1,2011,205,2
14,1,2011,211,1
15,1,2011,212,3
16,1,2011,301,3
17,1,2011,303,2
18,1,2011,306,5
19,1,2011,307,1
20,1,2011,308,2
21,1,2011,310,2
22,1,2011,311,1
23,1,2011,312,2
24,1,2011,313,1
25,1,2011,314,2
26,1,2011,315,3
27,1,2011,318,2
28,1,2011,403,4
29,1,2011,404,4
30,1,2011,405,2
31,1,2011,406,1
32,1,2011,407,3
33,1,2011,408,2
34,1,2011,410,1
35,1,2011,412,1
36,1,2011,413,1
37,1,2012,101,13
38,1,2012,102,22
39,1,2012,103,19
40,1,2012,104,17
41,1,2012,105,20
42,1,2012,106,4
43,1,2012,107,22
44,1,2012,108,24
45,1,2012,109,6
46,1,2012,110,7
47,1,2012,111,6
48,1,2012,112,6
49,1,2012,201,5
50,1,2012,202,1
51,1,2012,205,1
52,1,2012,207,1
53,1,2012,208,2
54,1,2012,210,1
55,1,2012,211,2
56,1,2012,212,3
57,1,2012,301,6
58,1,2012,302,3
59,1,2012,303,1
60,1,2012,305,1
61,1,2012,306,5
62,1,2012,307,3
63,1,2012,308,2
64,1,2012,310,4
65,1,2012,311,2
66,1,2012,312,4
67,1,2012,314,1
68,1,2012,315,2
69,1,2012,401,2
70,1,2012,402,3
71,1,2012,403,2
72,1,2012,404,1
73,1,2012,405,5
74,1,2012,406,5
75,1,2012,407,10
76,1,2012,408,5
77,1,2012,409,1
78,1,2012,411,4
79,1,2012,412,2
80,1,2012,413,1
81,1,2012,414,4
82,1,2013,101,25
83,1,2013,102,44
84,1,2013,103,42
85,1,2013,104,31
86,1,2013,105,24
87,1,2013,106,17
88,1,2013,107,38
89,1,2013,108,40
90,1,2013,109,10
91,1,2013,110,9
92,1,2013,112,7
93,1,2013,203,1
94,1,2013,204,3
95,1,2013,205,1
96,1,2013,206,2
97,1,2013,207,2
98,1,2013,208,1
99,1,2013,211,1
100,1,2013,212,9
101,1,2013,301,14
102,1,2013,302,6
103,1,2013,303,9
104,1,2013,304,3
105,1,2013,305,1
106,1,2013,306,6
107,1,2013,307,3
108,1,2013,308,2
109,1,2013,310,3
110,1,2013,311,3
111,1,2013,312,5
112,1,2013,313,1
113,1,2013,315,5
114,1,2013,317,1
115,1,2013,401,14
116,1,2013,402,6
117,1,2013,403,4
118,1,2013,404,2
119,1,2013,405,5
120,1,2013,406,3
121,1,2013,407,16
122,1,2013,408,1
123,1,2013,409,4
124,1,2013,410,6
125,1,2013,411,3
126,1,2013,412,1
127,1,2013,413,9
128,1,2013,414,13
129,1,2014,101,25
130,1,2014,102,40
131,1,2014,103,22
132,1,2014,104,27
133,1,2014,105,45
134,1,2014,106,20
135,1,2014,107,15
136,1,2014,108,34
137,1,2014,109,8
138,1,2014,110,8
139,1,2014,111,3
140,1,2014,112,9
141,1,2014,203,1
142,1,2014,204,2
143,1,2014,205,1
144,1,2014,207,3
145,1,2014,208,2
146,1,2014,209,2
147,1,2014,211,3
148,1,2014,301,32
149,1,2014,302,58
150,1,2014,303,21
151,1,2014,304,31
152,1,2014,305,6
153,1,2014,306,24
154,1,2014,307,4
155,1,2014,308,6
156,1,2014,309,4
157,1,2014,310,5
158,1,2014,311,1
159,1,2014,312,15
160,1,2014,313,5
161,1,2014,314,6
162,1,2014,315,8
163,1,2014,317,3
164,1,2014,318,4
165,1,2014,401,14
166,1,2014,402,5
167,1,2014,403,2
168,1,2014,404,8
169,1,2014,405,4
170,1,2014,406,6
171,1,2014,407,7
172,1,2014,408,4
173,1,2014,409,125
174,1,2014,410,6
175,1,2014,411,8
176,1,2014,412,10
177,1,2014,413,2
178,1,2014,414,14
179,1,2015,101,22
180,1,2015,102,25
181,1,2015,103,21
182,1,2015,104,28
183,1,2015,105,33
184,1,2015,106,23
185,1,2015,107,42
186,1,2015,108,27
187,1,2015,109,14
188,1,2015,110,13
189,1,2015,111,7
190,1,2015,112,12
191,1,2015,201,11
192,1,2015,202,3
193,1,2015,203,7
194,1,2015,204,5
195,1,2015,205,7
196,1,2015,206,3
197,1,2015,207,4
198,1,2015,208,5
199,1,2015,209,7
200,1,2015,210,5
201,1,2015,211,1
202,1,2015,212,5
203,1,2015,301,36
204,1,2015,302,12
205,1,2015,303,20
206,1,2015,304,11
207,1,2015,305,14
208,1,2015,306,8
209,1,2015,307,18
210,1,2015,308,10
211,1,2015,309,4
212,1,2015,310,7
213,1,2015,311,8
214,1,2015,312,7
215,1,2015,313,4
216,1,2015,314,5
217,1,2015,315,9
218,1,2015,316,6
219,1,2015,317,5
220,1,2015,318,3
221,1,2015,401,20
222,1,2015,402,5
223,1,2015,403,9
224,1,2015,404,1
225,1,2015,405,10
226,1,2015,406,3
227,1,2015,407,18
228,1,2015,408,7
229,1,2015,409,4
230,1,2015,410,4
231,1,2015,411,8
232,1,2015,412,4
233,1,2015,413,4
234,1,2015,414,7
235,1,2016,101,28
236,1,2016,102,37
237,1,2016,103,37
238,1,2016,104,49
239,1,2016,105,46
240,1,2016,106,54
241,1,2016,107,65
242,1,2016,108,68
243,1,2016,109,10
244,1,2016,110,31
245,1,2016,111,21
246,1,2016,112,36
247,1,2016,201,8
248,1,2016,202,6
249,1,2016,203,7
250,1,2016,204,8
251,1,2016,205,12
252,1,2016,206,7
253,1,2016,207,7
254,1,2016,208,7
255,1,2016,209,4
256,1,2016,211,5
257,1,2016,212,6
258,1,2016,301,47
259,1,2016,302,40
260,1,2016,303,39
261,1,2016,304,17
262,1,2016,305,34
263,1,2016,306,19
264,1,2016,307,12
265,1,2016,308,38
266,1,2016,309,32
267,1,2016,310,15
268,1,2016,311,16
269,1,2016,312,15
270,1,2016,313,5
271,1,2016,314,19
272,1,2016,315,12
273,1,2016,316,20
274,1,2016,317,12
275,1,2016,318,6
276,1,2016,401,22
277,1,2016,402,15
278,1,2016,403,9
279,1,2016,404,25
280,1,2016,405,17
281,1,2016,406,9
282,1,2016,407,28
283,1,2016,408,12
284,1,2016,409,10
285,1,2016,410,6
286,1,2016,411,6
287,1,2016,412,27
288,1,2016,413,7
289,1,2016,414,7
290,1,2017,101,28
291,1,2017,102,34
292,1,2017,103,28
293,1,2017,104,42
294,1,2017,105,41
295,1,2017,106,31
296,1,2017,107,18
297,1,2017,108,40
298,1,2017,109,9
299,1,2017,110,21
300,1,2017,111,11
301,1,2017,112,17
302,1,2017,201,6
303,1,2017,202,6
304,1,2017,203,3
305,1,2017,204,8
306,1,2017,205,6
307,1,2017,206,7
308,1,2017,207,10
309,1,2017,208,3
310,1,2017,209,6
311,1,2017,210,11
312,1,2017,211,3
313,1,2017,212,6
314,1,2017,301,73
315,1,2017,302,14
316,1,2017,303,30
317,1,2017,304,26
318,1,2017,305,18
319,1,2017,306,11
320,1,2017,307,4
321,1,2017,308,6
322,1,2017,309,2
323,1,2017,310,18
324,1,2017,311,4
325,1,2017,312,15
326,1,2017,313,15
327,1,2017,314,8
328,1,2017,315,21
329,1,2017,316,9
330,1,2017,317,12
331,1,2017,318,5
332,1,2017,401,34
333,1,2017,402,24
334,1,2017,403,6
335,1,2017,404,9
336,1,2017,405,8
337,1,2017,406,5
338,1,2017,407,41
339,1,2017,408,16
340,1,2017,409,17
341,1,2017,410,13
342,1,2017,411,12
343,1,2017,412,46
344,1,2017,413,18
345,1,2017,414,16
346,1,2018,101,32
347,1,2018,102,30
348,1,2018,103,21
349,1,2018,104,28
350,1,2018,105,32
351,1,2018,106,20
352,1,2018,107,19
353,1,2018,108,36
354,1,2018,109,23
355,1,2018,110,23
356,1,2018,111,16
357,1,2018,112,18
358,1,2018,201,33
359,1,2018,202,12
360,1,2018,203,8
361,1,2018,204,18
362,1,2018,205,15
363,1,2018,206,13
364,1,2018,207,14
365,1,2018,208,9
366,1,2018,209,22
367,1,2018,210,5
368,1,2018,211,2
369,1,2018,212,21
370,1,2018,301,70
371,1,2018,302,24
372,1,2018,303,70
373,1,2018,304,74
374,1,2018,305,23
375,1,2018,306,20
376,1,2018,307,30
377,1,2018,308,29
378,1,2018,309,8
379,1,2018,310,22
380,1,2018,311,17
381,1,2018,312,16
382,1,2018,313,7
383,1,2018,314,24
384,1,2018,315,35
385,1,2018,316,18
386,1,2018,317,23
387,1,2018,318,19
388,1,2018,401,21
389,1,2018,402,26
390,1,2018,403,9
391,1,2018,404,7
392,1,2018,405,10
393,1,2018,406,23
394,1,2018,407,33
395,1,2018,408,17
396,1,2018,409,27
397,1,2018,410,10
398,1,2018,411,29
399,1,2018,412,25
400,1,2018,413,12
401,1,2018,414,13
402,1,2019,101,20
