,Month,Year,community_board_full,DOT
0,1,2012,101,377
1,1,2012,102,291
2,1,2012,103,268
3,1,2012,104,185
4,1,2012,105,543
5,1,2012,106,193
6,1,2012,107,192
7,1,2012,108,229
8,1,2012,109,49
9,1,2012,110,42
10,1,2012,111,58
11,1,2012,112,91
12,1,2012,164,1
13,1,2012,201,44
14,1,2012,202,60
15,1,2012,203,52
16,1,2012,204,52
17,1,2012,205,47
18,1,2012,206,34
19,1,2012,207,94
20,1,2012,208,195
21,1,2012,209,230
22,1,2012,210,229
23,1,2012,211,218
24,1,2012,212,157
25,1,2012,226,1
26,1,2012,227,5
27,1,2012,228,4
28,1,2012,301,255
29,1,2012,302,316
30,1,2012,303,283
31,1,2012,304,163
32,1,2012,305,261
33,1,2012,306,293
34,1,2012,307,241
35,1,2012,308,160
36,1,2012,309,113
37,1,2012,310,232
38,1,2012,311,269
39,1,2012,312,354
40,1,2012,313,103
41,1,2012,314,170
42,1,2012,315,308
43,1,2012,316,117
44,1,2012,317,99
45,1,2012,318,168
46,1,2012,356,8
47,1,2012,401,400
48,1,2012,402,268
49,1,2012,403,285
50,1,2012,404,175
51,1,2012,405,340
52,1,2012,406,218
53,1,2012,407,429
54,1,2012,408,304
55,1,2012,409,245
56,1,2012,410,231
57,1,2012,411,269
58,1,2012,412,379
59,1,2012,413,356
60,1,2012,414,184
61,1,2012,480,1
62,1,2012,481,12
63,1,2012,482,2
64,1,2012,484,1
65,2,2012,101,252
66,2,2012,102,266
67,2,2012,103,159
68,2,2012,104,137
69,2,2012,105,337
70,2,2012,106,160
71,2,2012,107,142
72,2,2012,108,321
73,2,2012,109,35
74,2,2012,110,35
75,2,2012,111,45
76,2,2012,112,116
77,2,2012,201,67
78,2,2012,202,59
79,2,2012,203,67
80,2,2012,204,60
81,2,2012,205,54
82,2,2012,206,30
83,2,2012,207,73
84,2,2012,208,161
85,2,2012,209,261
86,2,2012,210,203
87,2,2012,211,191
88,2,2012,212,141
89,2,2012,226,2
90,2,2012,227,1
91,2,2012,228,1
92,2,2012,301,276
93,2,2012,302,264
94,2,2012,303,213
95,2,2012,304,190
96,2,2012,305,309
97,2,2012,306,255
98,2,2012,307,212
99,2,2012,308,114
100,2,2012,309,99
101,2,2012,310,214
102,2,2012,311,262
103,2,2012,312,311
104,2,2012,313,100
105,2,2012,314,145
106,2,2012,315,265
107,2,2012,316,96
108,2,2012,317,83
109,2,2012,318,193
110,2,2012,355,2
111,2,2012,356,4
112,2,2012,401,318
113,2,2012,402,208
114,2,2012,403,238
115,2,2012,404,147
116,2,2012,405,348
117,2,2012,406,206
118,2,2012,407,384
119,2,2012,408,226
120,2,2012,409,185
121,2,2012,410,172
122,2,2012,411,220
123,2,2012,412,258
124,2,2012,413,315
125,2,2012,414,138
126,2,2012,481,4
127,2,2012,482,5
128,2,2012,483,1
129,2,2012,484,1
130,9,2011,101,295
131,9,2011,102,321
132,9,2011,103,329
133,9,2011,104,163
134,9,2011,105,451
135,9,2011,106,245
136,9,2011,107,214
137,9,2011,108,279
138,9,2011,109,53
139,9,2011,110,53
140,9,2011,111,75
141,9,2011,112,133
142,9,2011,201,73
143,9,2011,202,90
144,9,2011,203,41
145,9,2011,204,86
146,9,2011,205,98
