,Month,Year,community_board_full,DPR
0,1,2010,101,4
1,1,2010,102,2
2,1,2010,103,6
3,1,2010,104,4
4,1,2010,105,4
5,1,2010,106,4
6,1,2010,107,23
7,1,2010,108,1
8,1,2010,109,3
9,1,2010,111,3
10,1,2010,112,16
11,1,2010,201,1
12,1,2010,203,6
13,1,2010,204,2
14,1,2010,205,1
15,1,2010,207,5
16,1,2010,208,2
17,1,2010,209,1
18,1,2010,210,2
19,1,2010,211,1
20,1,2010,301,2
21,1,2010,302,3
22,1,2010,303,3
23,1,2010,305,2
24,1,2010,306,1
25,1,2010,307,1
26,1,2010,308,1
27,1,2010,310,1
28,1,2010,311,2
29,1,2010,313,9
30,1,2010,318,5
31,1,2010,401,1
32,1,2010,404,1
33,1,2010,405,5
34,1,2010,406,1
35,1,2010,407,3
36,1,2010,408,2
37,1,2010,410,3
38,1,2010,411,1
39,1,2010,412,4
40,1,2010,413,3
41,1,2011,101,4
42,1,2011,103,10
43,1,2011,104,3
44,1,2011,105,6
45,1,2011,106,5
46,1,2011,107,17
47,1,2011,108,19
48,1,2011,109,10
49,1,2011,110,1
50,1,2011,111,8
51,1,2011,112,12
52,1,2011,202,1
53,1,2011,203,3
54,1,2011,204,14
55,1,2011,205,2
56,1,2011,207,2
57,1,2011,208,3
58,1,2011,209,2
59,1,2011,211,2
60,1,2011,212,1
61,1,2011,301,12
62,1,2011,302,5
63,1,2011,303,7
64,1,2011,304,1
65,1,2011,305,5
66,1,2011,306,6
67,1,2011,307,3
68,1,2011,308,2
69,1,2011,310,9
70,1,2011,311,1
71,1,2011,312,5
72,1,2011,313,1
73,1,2011,314,2
74,1,2011,315,1
75,1,2011,316,1
76,1,2011,317,2
77,1,2011,318,11
78,1,2011,401,6
79,1,2011,403,2
80,1,2011,404,1
81,1,2011,405,2
82,1,2011,406,5
83,1,2011,407,12
84,1,2011,408,5
85,1,2011,409,1
86,1,2011,410,5
87,1,2011,411,5
88,1,2011,412,14
89,1,2011,413,5
90,1,2011,414,1
91,1,2012,101,3
92,1,2012,102,4
93,1,2012,103,2
94,1,2012,104,4
95,1,2012,105,2
96,1,2012,106,4
97,1,2012,107,16
98,1,2012,108,3
99,1,2012,109,5
100,1,2012,110,1
101,1,2012,111,5
102,1,2012,112,10
103,1,2012,201,1
104,1,2012,203,1
105,1,2012,206,2
106,1,2012,207,3
107,1,2012,208,3
108,1,2012,212,1
109,1,2012,301,5
110,1,2012,302,5
111,1,2012,303,5
112,1,2012,304,1
113,1,2012,305,1
114,1,2012,306,2
115,1,2012,307,4
116,1,2012,310,3
117,1,2012,311,1
118,1,2012,313,4
119,1,2012,315,1
120,1,2012,316,1
121,1,2012,317,1
122,1,2012,318,7
123,1,2012,401,5
124,1,2012,402,1
125,1,2012,403,1
126,1,2012,405,2
127,1,2012,406,3
128,1,2012,407,10
129,1,2012,408,6
130,1,2012,411,3
131,1,2012,412,4
132,1,2012,413,7
133,1,2012,414,1
134,1,2013,103,2
135,1,2013,104,1
136,1,2013,105,1
137,1,2013,107,1
138,1,2013,111,1
139,1,2013,301,1
140,1,2013,302,1
141,1,2013,308,2
142,1,2013,407,1
143,1,2013,411,1
144,1,2014,103,1
145,1,2014,105,1
146,1,2014,107,2
147,1,2014,108,1
148,1,2014,110,1
149,1,2014,111,2
150,1,2014,112,5
151,1,2014,203,3
152,1,2014,205,2
153,1,2014,206,1
154,1,2014,207,1
155,1,2014,210,1
156,1,2014,301,1
157,1,2014,303,1
158,1,2014,305,1
159,1,2014,307,1
160,1,2014,310,1
161,1,2014,314,1
162,1,2014,318,1
163,1,2014,401,2
164,1,2014,402,1
165,1,2014,407,1
166,1,2014,408,1
167,1,2014,413,2
168,1,2015,102,6
169,1,2015,103,14
170,1,2015,104,3
171,1,2015,105,2
172,1,2015,106,5
173,1,2015,107,10
174,1,2015,108,10
175,1,2015,109,4
176,1,2015,110,2
177,1,2015,111,8
178,1,2015,112,17
179,1,2015,201,1
180,1,2015,204,3
181,1,2015,206,1
182,1,2015,207,4
183,1,2015,209,3
184,1,2015,210,4
185,1,2015,212,2
186,1,2015,301,5
187,1,2015,302,4
188,1,2015,303,3
189,1,2015,305,2
190,1,2015,306,2
191,1,2015,307,4
192,1,2015,308,1
193,1,2015,310,6
194,1,2015,312,1
195,1,2015,313,2
196,1,2015,314,2
197,1,2015,315,3
198,1,2015,316,4
199,1,2015,318,2
200,1,2015,401,2
201,1,2015,402,1
202,1,2015,403,1
203,1,2015,404,1
204,1,2015,405,2
205,1,2015,406,4
206,1,2015,407,9
207,1,2015,408,3
208,1,2015,410,2
209,1,2015,412,1
210,1,2015,413,3
211,1,2015,414,2
212,1,2016,102,22
213,1,2016,103,69
214,1,2016,104,14
215,1,2016,105,6
216,1,2016,106,13
217,1,2016,107,18
218,1,2016,108,32
219,1,2016,109,15
220,1,2016,110,2
221,1,2016,111,8
222,1,2016,112,97
223,1,2016,201,4
224,1,2016,202,3
225,1,2016,203,5
226,1,2016,204,50
227,1,2016,205,2
228,1,2016,206,5
229,1,2016,207,12
230,1,2016,208,9
231,1,2016,209,2
232,1,2016,210,4
233,1,2016,211,4
234,1,2016,212,1
235,1,2016,301,33
236,1,2016,302,24
237,1,2016,303,22
238,1,2016,304,1
239,1,2016,305,2
240,1,2016,306,8
241,1,2016,307,8
242,1,2016,308,16
243,1,2016,309,1
244,1,2016,310,13
245,1,2016,311,4
246,1,2016,312,12
247,1,2016,313,8
248,1,2016,314,4
249,1,2016,315,10
250,1,2016,316,6
251,1,2016,317,1
252,1,2016,318,26
253,1,2016,401,11
254,1,2016,402,15
255,1,2016,403,4
256,1,2016,404,12
257,1,2016,405,12
258,1,2016,406,8
259,1,2016,407,16
260,1,2016,408,11
261,1,2016,410,8
262,1,2016,411,14
263,1,2016,412,10
264,1,2016,413,9
265,1,2016,414,4
266,1,2017,102,5
267,1,2017,103,18
268,1,2017,104,5
269,1,2017,105,5
270,1,2017,106,10
271,1,2017,107,10
272,1,2017,108,25
273,1,2017,109,4
274,1,2017,110,3
275,1,2017,111,3
276,1,2017,112,27
277,1,2017,201,1
278,1,2017,202,4
279,1,2017,203,2
280,1,2017,204,7
281,1,2017,205,1
282,1,2017,206,1
283,1,2017,207,13
284,1,2017,208,5
285,1,2017,209,4
286,1,2017,211,2
287,1,2017,212,1
288,1,2017,301,20
289,1,2017,302,33
290,1,2017,303,9
291,1,2017,304,1
292,1,2017,305,2
293,1,2017,306,4
294,1,2017,307,5
295,1,2017,308,7
296,1,2017,310,9
297,1,2017,311,3
298,1,2017,312,8
299,1,2017,313,3
300,1,2017,314,3
301,1,2017,315,8
302,1,2017,316,8
303,1,2017,318,2
304,1,2017,401,8
305,1,2017,402,7
306,1,2017,403,2
307,1,2017,404,4
308,1,2017,405,11
309,1,2017,406,5
310,1,2017,407,14
311,1,2017,408,8
312,1,2017,409,1
313,1,2017,411,11
314,1,2017,412,5
315,1,2017,413,7
316,1,2017,414,12
317,1,2018,102,17
318,1,2018,103,24
319,1,2018,104,3
320,1,2018,105,7
321,1,2018,106,3
322,1,2018,107,11
323,1,2018,108,10
324,1,2018,109,28
325,1,2018,110,2
326,1,2018,111,16
327,1,2018,112,30
328,1,2018,201,4
329,1,2018,202,2
330,1,2018,203,5
331,1,2018,204,7
332,1,2018,205,2
333,1,2018,206,4
334,1,2018,207,9
335,1,2018,208,4
336,1,2018,209,4
337,1,2018,210,1
338,1,2018,211,1
339,1,2018,212,1
340,1,2018,301,26
341,1,2018,302,21
342,1,2018,303,10
343,1,2018,304,5
344,1,2018,305,4
345,1,2018,306,9
346,1,2018,307,10
347,1,2018,308,7
348,1,2018,309,4
349,1,2018,310,18
350,1,2018,311,6
351,1,2018,312,6
352,1,2018,313,9
353,1,2018,314,2
354,1,2018,315,2
355,1,2018,316,3
356,1,2018,317,3
357,1,2018,318,13
358,1,2018,401,8
359,1,2018,402,7
360,1,2018,403,1
361,1,2018,404,11
362,1,2018,405,9
363,1,2018,406,9
364,1,2018,407,16
365,1,2018,408,6
366,1,2018,410,2
367,1,2018,411,6
368,1,2018,412,5
369,1,2018,413,14
370,1,2018,414,12
371,1,2019,101,4
372,1,2019,102,8
373,1,2019,103,12
374,1,2019,104,12
375,1,2019,105,3
376,1,2019,106,9
377,1,2019,107,20
378,1,2019,108,9
379,1,2019,109,4
380,1,2019,110,3
381,1,2019,111,9
382,1,2019,112,8
383,1,2019,201,6
384,1,2019,202,4
385,1,2019,203,4
386,1,2019,204,7
387,1,2019,205,1
388,1,2019,207,5
389,1,2019,208,8
390,1,2019,209,7
391,1,2019,210,1
392,1,2019,212,5
393,1,2019,301,15
394,1,2019,302,17
395,1,2019,303,13
396,1,2019,304,4
397,1,2019,305,2
398,1,2019,306,5
399,1,2019,307,9
400,1,2019,308,13
401,1,2019,309,6
402,1,2019,310,21
403,1,2019,311,6
404,1,2019,312,7
405,1,2019,313,14
406,1,2019,314,1
407,1,2019,315,3
408,1,2019,316,4
409,1,2019,317,6
410,1,2019,318,13
411,1,2019,355,1
412,1,2019,401,6
413,1,2019,402,7
414,1,2019,403,2
415,1,2019,405,8
416,1,2019,406,1
417,1,2019,407,14
418,1,2019,408,6
419,1,2019,409,2
420,1,2019,410,1
421,1,2019,411,4
422,1,2019,412,7
423,1,2019,413,2
424,1,2019,414,9
425,2,2010,101,5
426,2,2010,102,4
427,2,2010,103,11
428,2,2010,105,4
429,2,2010,106,4
430,2,2010,107,14
431,2,2010,108,9
432,2,2010,109,7
433,2,2010,110,1
434,2,2010,111,4
435,2,2010,112,17
436,2,2010,201,8
437,2,2010,204,3
438,2,2010,206,2
439,2,2010,207,6
440,2,2010,208,5
441,2,2010,209,1
442,2,2010,210,1
443,2,2010,211,1
444,2,2010,301,7
445,2,2010,302,2
446,2,2010,303,1
447,2,2010,305,5
448,2,2010,306,5
449,2,2010,307,5
450,2,2010,308,2
451,2,2010,310,3
452,2,2010,311,3
453,2,2010,312,3
454,2,2010,313,5
455,2,2010,314,3
456,2,2010,315,2
457,2,2010,316,2
458,2,2010,318,4
459,2,2010,401,3
460,2,2010,402,4
461,2,2010,404,1
462,2,2010,405,4
463,2,2010,406,1
464,2,2010,407,6
465,2,2010,408,5
466,2,2010,409,1
467,2,2010,410,1
468,2,2010,411,3
469,2,2010,412,5
470,2,2010,413,7
471,2,2011,101,4
472,2,2011,102,6
473,2,2011,103,8
474,2,2011,104,6
475,2,2011,105,4
476,2,2011,106,9
477,2,2011,107,20
478,2,2011,108,7
479,2,2011,109,20
480,2,2011,110,1
481,2,2011,111,6
482,2,2011,112,35
483,2,2011,201,6
484,2,2011,203,6
485,2,2011,204,11
486,2,2011,205,4
487,2,2011,206,2
488,2,2011,207,5
489,2,2011,208,11
490,2,2011,209,6
491,2,2011,211,1
492,2,2011,212,2
493,2,2011,301,6
494,2,2011,302,8
495,2,2011,303,6
496,2,2011,305,4
497,2,2011,306,2
498,2,2011,307,5
499,2,2011,308,3
500,2,2011,309,4
501,2,2011,310,7
502,2,2011,311,2
503,2,2011,312,2
504,2,2011,313,1
505,2,2011,314,3
506,2,2011,316,2
507,2,2011,317,2
508,2,2011,318,6
509,2,2011,401,2
510,2,2011,402,4
511,2,2011,403,1
512,2,2011,404,1
513,2,2011,405,5
514,2,2011,406,3
515,2,2011,407,6
516,2,2011,408,5
517,2,2011,410,1
518,2,2011,411,9
519,2,2011,412,11
520,2,2011,413,3
521,2,2011,414,1
522,2,2012,101,1
523,2,2012,102,2
524,2,2012,103,10
525,2,2012,105,3
526,2,2012,106,2
527,2,2012,107,20
528,2,2012,108,4
529,2,2012,109,3
530,2,2012,110,1
531,2,2012,111,8
532,2,2012,112,17
533,2,2012,201,1
534,2,2012,202,2
535,2,2012,203,1
536,2,2012,204,7
537,2,2012,205,1
538,2,2012,206,1
539,2,2012,207,3
540,2,2012,208,3
541,2,2012,209,3
542,2,2012,212,1
543,2,2012,301,5
544,2,2012,302,5
545,2,2012,303,1
546,2,2012,305,6
547,2,2012,306,4
548,2,2012,307,6
549,2,2012,308,5
550,2,2012,309,2
551,2,2012,310,5
552,2,2012,311,1
553,2,2012,312,1
554,2,2012,313,1
555,2,2012,314,4
556,2,2012,315,1
557,2,2012,316,2
558,2,2012,318,2
559,2,2012,401,6
560,2,2012,402,2
561,2,2012,405,3
562,2,2012,407,6
563,2,2012,408,2
564,2,2012,411,1
565,2,2012,413,5
566,2,2013,102,1
567,2,2013,103,4
568,2,2013,107,1
569,2,2013,110,1
570,2,2013,112,2
571,2,2013,204,1
572,2,2013,208,1
573,2,2013,209,1
574,2,2013,210,1
575,2,2013,302,1
576,2,2013,306,1
577,2,2013,307,2
578,2,2013,311,1
579,2,2013,313,1
580,2,2013,318,1
581,2,2013,401,1
582,2,2013,404,2
583,2,2013,411,1
584,2,2013,412,1
585,2,2013,413,1
586,2,2014,102,3
587,2,2014,103,18
588,2,2014,104,10
589,2,2014,105,5
590,2,2014,106,7
591,2,2014,107,14
592,2,2014,108,6
593,2,2014,109,16
594,2,2014,110,5
595,2,2014,111,7
596,2,2014,112,20
597,2,2014,201,5
598,2,2014,202,3
