,Month,Year,community_board_full,DSNY
0,1,2010,103,1
1,1,2010,104,2
2,1,2010,105,2
3,1,2010,106,3
4,1,2010,107,1
5,1,2010,108,1
6,1,2010,110,2
7,1,2010,111,1
8,1,2010,112,2
9,1,2010,202,1
10,1,2010,204,1
11,1,2010,206,1
12,1,2010,207,5
13,1,2010,208,2
14,1,2010,209,3
15,1,2010,210,5
16,1,2010,211,4
17,1,2010,212,3
18,1,2010,302,3
19,1,2010,304,1
20,1,2010,305,4
21,1,2010,307,1
22,1,2010,308,1
23,1,2010,309,1
24,1,2010,310,1
25,1,2010,311,3
26,1,2010,313,1
27,1,2010,314,2
28,1,2010,315,3
29,1,2010,317,2
30,1,2010,318,6
31,1,2010,401,1
32,1,2010,402,9
33,1,2010,403,3
34,1,2010,404,1
35,1,2010,405,3
36,1,2010,406,1
37,1,2010,407,12
38,1,2010,408,4
39,1,2010,409,2
40,1,2010,410,3
41,1,2010,411,5
42,1,2010,412,7
43,1,2010,413,8
44,1,2010,414,2
45,1,2011,102,3
46,1,2011,103,2
47,1,2011,105,3
48,1,2011,108,1
49,1,2011,110,1
50,1,2011,111,3
51,1,2011,112,1
52,1,2011,202,1
53,1,2011,203,1
54,1,2011,204,6
55,1,2011,206,2
56,1,2011,207,3
57,1,2011,208,5
58,1,2011,209,5
59,1,2011,210,5
60,1,2011,211,5
61,1,2011,212,6
62,1,2011,302,2
63,1,2011,303,2
64,1,2011,304,2
65,1,2011,305,14
66,1,2011,308,1
67,1,2011,310,7
68,1,2011,311,3
69,1,2011,312,1
70,1,2011,313,2
71,1,2011,314,4
72,1,2011,315,8
73,1,2011,316,2
74,1,2011,317,3
75,1,2011,318,9
76,1,2011,401,1
77,1,2011,402,9
78,1,2011,403,5
79,1,2011,404,8
80,1,2011,405,5
81,1,2011,406,4
82,1,2011,407,9
83,1,2011,408,11
84,1,2011,409,6
85,1,2011,410,6
86,1,2011,411,12
87,1,2011,412,11
88,1,2011,413,15
89,1,2011,414,3
90,1,2012,102,1
91,1,2012,103,3
92,1,2012,104,1
93,1,2012,105,3
94,1,2012,106,1
95,1,2012,107,1
96,1,2012,109,2
97,1,2012,110,5
98,1,2012,112,3
99,1,2012,202,4
100,1,2012,203,5
101,1,2012,204,1
102,1,2012,205,1
103,1,2012,206,2
104,1,2012,207,6
105,1,2012,208,1
106,1,2012,209,1
107,1,2012,210,4
108,1,2012,211,2
109,1,2012,212,8
110,1,2012,301,1
111,1,2012,302,2
112,1,2012,303,6
113,1,2012,304,4
114,1,2012,305,12
115,1,2012,306,4
116,1,2012,307,7
117,1,2012,308,5
118,1,2012,310,8
119,1,2012,311,6
120,1,2012,312,6
121,1,2012,313,1
122,1,2012,314,7
123,1,2012,315,2
124,1,2012,316,3
125,1,2012,317,1
126,1,2012,318,7
127,1,2012,401,1
128,1,2012,402,10
129,1,2012,403,6
130,1,2012,404,6
131,1,2012,405,6
132,1,2012,406,1
133,1,2012,407,5
134,1,2012,408,16
135,1,2012,409,13
136,1,2012,410,4
137,1,2012,411,8
138,1,2012,412,22
139,1,2012,413,18
140,1,2012,414,1
141,1,2013,102,1
142,1,2013,104,2
143,1,2013,105,2
144,1,2013,106,1
145,1,2013,108,2
146,1,2013,109,1
147,1,2013,110,1
148,1,2013,111,3
149,1,2013,112,3
150,1,2013,202,1
151,1,2013,203,2
152,1,2013,204,1
153,1,2013,205,1
154,1,2013,207,1
155,1,2013,208,2
156,1,2013,209,2
157,1,2013,210,3
158,1,2013,211,2
159,1,2013,212,6
160,1,2013,301,6
161,1,2013,302,1
162,1,2013,303,4
163,1,2013,304,2
164,1,2013,305,6
165,1,2013,306,2
166,1,2013,307,2
167,1,2013,308,1
168,1,2013,309,1
169,1,2013,310,1
170,1,2013,311,1
171,1,2013,312,1
172,1,2013,313,4
173,1,2013,314,4
174,1,2013,315,3
175,1,2013,316,1
176,1,2013,318,6
177,1,2013,401,3
178,1,2013,402,1
179,1,2013,403,11
180,1,2013,404,4
181,1,2013,405,4
182,1,2013,406,5
183,1,2013,407,8
184,1,2013,408,7
185,1,2013,409,4
186,1,2013,410,6
187,1,2013,411,4
188,1,2013,412,15
189,1,2013,413,3
190,1,2013,414,3
