,Month,Year,community_board_full,HPD
0,1,2010,103,4
1,1,2010,112,3
2,1,2010,204,28
3,1,2010,205,1
4,1,2010,206,1
5,1,2010,207,2
6,1,2010,208,3
7,1,2010,209,1
8,1,2010,210,1
9,1,2010,304,2
10,1,2010,305,1
11,1,2010,313,1
12,1,2010,314,1
13,1,2010,317,1
14,1,2010,318,1
15,1,2010,411,1
16,1,2010,414,1
17,1,2012,110,4
18,1,2012,201,1
19,1,2012,317,1
20,1,2013,110,5
21,1,2015,110,1
22,1,2016,110,1
23,1,2018,110,1
24,1,2019,110,2
25,2,2012,317,1
26,2,2019,110,2
27,2,2019,112,1
28,2,2019,201,1
29,2,2019,202,2
30,2,2019,203,1
31,2,2019,204,2
32,2,2019,205,3
33,2,2019,206,2
34,2,2019,207,3
35,2,2019,211,1
36,2,2019,212,2
37,2,2019,309,1
38,2,2019,401,1
39,2,2019,407,1
40,2,2019,414,1
41,3,2011,110,2
42,3,2012,110,2
43,3,2016,110,9
44,3,2016,206,4
45,4,2011,101,1
46,4,2012,110,6
47,4,2016,110,2
48,4,2017,314,1
49,5,2011,316,1
50,5,2016,414,1
51,7,2012,110,2
52,7,2012,317,2
53,8,2016,409,2
54,9,2016,110,3
55,9,2016,409,1
56,10,2012,308,7
57,10,2015,110,1
58,10,2016,110,1
59,10,2016,408,1
60,10,2017,110,2
61,11,2011,110,4
62,11,2012,110,3
63,11,2012,204,4
64,11,2012,206,3
65,11,2015,206,6
66,11,2016,409,3
67,11,2017,110,1
68,11,2018,107,1
69,11,2018,110,1
70,11,2018,112,4
71,11,2018,202,1
72,11,2018,204,2
73,11,2018,205,1
74,11,2018,207,1
75,11,2018,211,1
76,11,2018,212,1
77,11,2018,403,1
78,11,2018,404,1
79,12,2011,110,3
80,12,2011,317,2
81,12,2012,110,2
82,12,2012,204,1
83,12,2012,206,1
84,12,2012,304,1
85,12,2012,317,1
86,12,2015,110,2
87,12,2016,103,2
88,12,2016,204,7
89,12,2016,309,1
90,12,2016,413,1
91,12,2017,308,1
92,12,2018,110,1
