,Month,Year,community_board_full,NYPD
0,1,2010,101,18
1,1,2010,102,74
2,1,2010,103,131
3,1,2010,104,45
4,1,2010,105,39
5,1,2010,106,61
6,1,2010,107,113
7,1,2010,108,85
8,1,2010,109,78
9,1,2010,110,117
10,1,2010,111,76
11,1,2010,112,139
12,1,2010,201,49
13,1,2010,202,22
14,1,2010,203,66
15,1,2010,204,92
16,1,2010,205,115
17,1,2010,206,53
18,1,2010,207,100
19,1,2010,208,55
20,1,2010,209,96
21,1,2010,210,40
22,1,2010,211,65
23,1,2010,212,109
24,1,2010,301,100
25,1,2010,302,82
26,1,2010,303,81
27,1,2010,304,43
28,1,2010,305,101
29,1,2010,306,53
30,1,2010,307,43
31,1,2010,308,33
32,1,2010,309,64
33,1,2010,310,54
34,1,2010,311,72
35,1,2010,312,65
36,1,2010,313,31
37,1,2010,314,82
38,1,2010,315,90
39,1,2010,316,44
40,1,2010,317,94
41,1,2010,318,91
42,1,2010,401,116
43,1,2010,402,73
44,1,2010,403,58
45,1,2010,404,77
46,1,2010,405,98
47,1,2010,406,65
48,1,2010,407,105
49,1,2010,408,48
50,1,2010,409,80
51,1,2010,410,69
52,1,2010,411,27
53,1,2010,412,85
54,1,2010,413,53
55,1,2010,414,35
56,2,2010,101,100
57,2,2010,102,326
58,2,2010,103,645
59,2,2010,104,257
60,2,2010,105,158
61,2,2010,106,138
62,2,2010,107,401
63,2,2010,108,328
64,2,2010,109,321
65,2,2010,110,459
66,2,2010,111,364
67,2,2010,112,696
68,2,2010,201,185
69,2,2010,202,122
70,2,2010,203,278
71,2,2010,204,460
72,2,2010,205,472
73,2,2010,206,223
74,2,2010,207,401
75,2,2010,208,216
76,2,2010,209,519
77,2,2010,210,197
78,2,2010,211,370
79,2,2010,212,638
80,2,2010,301,453
81,2,2010,302,325
82,2,2010,303,350
83,2,2010,304,248
84,2,2010,305,335
85,2,2010,306,303
86,2,2010,307,224
87,2,2010,308,270
88,2,2010,309,247
89,2,2010,310,274
90,2,2010,311,437
91,2,2010,312,341
92,2,2010,313,185
93,2,2010,314,486
94,2,2010,315,412
95,2,2010,316,234
96,2,2010,317,415
97,2,2010,318,463
98,2,2010,355,2
99,2,2010,401,511
100,2,2010,402,311
101,2,2010,403,386
102,2,2010,404,366
103,2,2010,405,500
104,2,2010,406,271
105,2,2010,407,525
106,2,2010,408,296
107,2,2010,409,474
108,2,2010,410,309
109,2,2010,411,148
110,2,2010,412,443
111,2,2010,413,252
112,2,2010,414,145
113,2,2010,482,1
114,3,2010,101,131
115,3,2010,102,426
116,3,2010,103,619
117,3,2010,104,352
118,3,2010,105,222
119,3,2010,106,262
120,3,2010,107,479
121,3,2010,108,328
122,3,2010,109,361
123,3,2010,110,562
124,3,2010,111,381
125,3,2010,112,821
126,3,2010,164,3
127,3,2010,201,203
128,3,2010,202,143
129,3,2010,203,311
130,3,2010,204,474
131,3,2010,205,518
132,3,2010,206,236
133,3,2010,207,415
134,3,2010,208,211
135,3,2010,209,485
136,3,2010,210,183
137,3,2010,211,388
138,3,2010,212,551
139,3,2010,227,1
140,3,2010,301,533
141,3,2010,302,307
142,3,2010,303,448
143,3,2010,304,312
144,3,2010,305,416
145,3,2010,306,285
146,3,2010,307,266
147,3,2010,308,259
148,3,2010,309,276
149,3,2010,310,285
150,3,2010,311,327
151,3,2010,312,370
152,3,2010,313,180
153,3,2010,314,546
154,3,2010,315,403
155,3,2010,316,197
156,3,2010,317,423
157,3,2010,318,449
158,3,2010,355,5
159,3,2010,356,1
160,3,2010,401,589
161,3,2010,402,325
162,3,2010,403,410
163,3,2010,404,303
164,3,2010,405,537
165,3,2010,406,239
166,3,2010,407,565
167,3,2010,408,324
168,3,2010,409,518
169,3,2010,410,342
170,3,2010,411,148
171,3,2010,412,556
172,3,2010,413,265
173,3,2010,414,170
174,3,2010,481,1
175,3,2010,482,1
176,4,2010,101,164
